ID,order_ID,product_ID,unitPrice,quantity,discount
0de2faa7-06f2-484a-8730-22626ecb8539,22056676-2e5c-49e2-a28a-eb4583657874,2946b088-05bc-4bd2-bc62-fd1600128169,14.00,12,0.00
1be247d3-dba2-4ba0-a908-e6f352b7a24b,22056676-2e5c-49e2-a28a-eb4583657874,51cba5dc-3785-4a78-8a3f-b23c5d465c8a,9.80,10,0.00
5e38ebf8-044e-4a36-beb9-9b35ad23c781,3f092465-42b4-446d-aef6-c99b8a15f835,cd4d7db7-e546-4263-91aa-374c6a1d4bc4,9.60,5,0.00
c2cff5c4-75c5-4abe-b29a-fae42011d9aa,0c90134f-b3fd-4b20-bcd3-d72bdaa18835,ca3aafa8-334f-48db-b52e-236422b5526b,7.70,9,0.00
fc00576a-12b0-464b-aa04-b4c82d742fd5,0c90134f-b3fd-4b20-bcd3-d72bdaa18835,319ab8c8-45c5-40b8-a40f-b7498140253e,14.40,40,0.05
70f856a3-afd5-4008-88cc-cd7d9471304a,32a4f331-ebc9-4cd3-ab20-11982c02a473,e2427cfd-91f6-4e62-8354-546de96433d8,18.60,35,0.15
c2d1739d-b4fc-4b83-ab50-21ac9edae8a0,08063a04-ddc3-4395-8b8f-cd0b419da468,5be55c2a-157a-4f4f-9deb-5d46bbc91ff9,15.20,25,0.05
5aa3a0c8-93f2-4785-9c83-5fe101e09718,6957ef3e-0043-4243-a6ae-9c9f2bb5f744,eab587d4-772f-4843-b284-e74c411e3dda,32.80,6,0.10
53919b76-96dc-4eaa-930a-81b7f41d61b5,7614182a-8351-4625-ad28-756d886e904f,12b158b3-c35c-4aab-b67f-3e15e72ed0c8,77.60,2,0.00
8667cbfc-70a5-4f31-9ae2-9ac94436e618,6711afc5-ede3-408f-9d2c-12f6fd5b77e9,da1684ee-1b42-4309-b541-e6f375e7ce24,17.08,3,0.00
