ID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax,homePage
3690ef1c-a221-486d-8262-a0b74b4a9f4e,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,,EC1 4SD,UK,(171) 555-2222,,
e5520e3c-e08d-49e8-8b6c-1ebde64ec927,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822,,
cdf09fb1-9f63-4fe4-9ef1-ed983a0ae27a,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,707 Oxford Rd.,Ann Arbor,MI,48104,USA,(313) 555-5735,(313) 555-3349,
452cc9fe-342a-4629-acd3-cd19ad5ba3c8,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-shi,Tokyo,,100,Japan,(03) 3555-5011,,
d579db88-c41b-4a7e-8747-943d3d32c87e,Cooperativa de Quesos Las Cabras,Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,,
9cf75aba-d870-4f04-91ab-16680fe26f7b,Mayumi's,Mayumi Ohno,Marketing Representative,92 Setsuko Chuo-ku,Osaka,,545,Japan,(06) 431-7877,,
67c01908-0855-42bf-800e-a1690809e16a,Pavlova Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,
b7f8c974-0b10-46e0-9922-e8d0a1619650,Specialty Biscuits Ltd.,Peter Wilson,Sales Representative,29 King's Way,Manchester,,M14 GSD,UK,(161) 555-4448,,
8ff9dcba-4198-4c2a-97ca-7d857825a2a2,PB Knäckebröd AB,Lars Peterson,Sales Agent,Kaloadagatan 13,Göteborg,,S-345 67,Sweden,031-987 65 43,031-987 65 91,
da14a617-8ee7-4cfc-a9f2-9c6acf8acab2,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,São Paulo,,5442,Brazil,(11) 555 4640,,
